mixture_ID,source_1_path,source_2_path,noise_path
7226_86964_000023_000004_6385_34655_000007_000000_01oc0214_0.72509_017c021c_-0.72509sp12.wav,train-clean-100/7226/86964/7226_86964_000023_000004.wav,train-clean-100/6385/34655/6385_34655_000007_000000.wav,tr/01oc0214_0.72509_017c021c_-0.72509sp12.wav
839_130898_000038_000000_4441_76263_000068_000000_209c010p_2.3645_01vc020u_-2.3645sp12.wav,train-clean-100/839/130898/839_130898_000038_000000.wav,train-clean-100/4441/76263/4441_76263_000068_000000.wav,tr/209c010p_2.3645_01vc020u_-2.3645sp12.wav
7113_86041_000011_000002_7447_91187_000016_000002_023c020y_1.663_40hc020s_-1.663sp12.wav,train-clean-100/7113/86041/7113_86041_000011_000002.wav,train-clean-100/7447/91187/7447_91187_000016_000002.wav,tr/023c020y_1.663_40hc020s_-1.663sp12.wav
2384_152900_000014_000011_3374_298026_000002_000001_40hc0201_1.3028_20pc0101_-1.3028.wav,train-clean-100/2384/152900/2384_152900_000014_000011.wav,train-clean-100/3374/298026/3374_298026_000002_000001.wav,tr/40hc0201_1.3028_20pc0101_-1.3028.wav
6531_61334_000008_000003_2196_170379_000014_000001_027o0319_0.54789_024c020l_-0.54789sp12.wav,train-clean-100/6531/61334/6531_61334_000008_000003.wav,train-clean-100/2196/170379/2196_170379_000014_000001.wav,tr/027o0319_0.54789_024c020l_-0.54789sp12.wav
2092_145706_000042_000000_298_126791_000078_000001_20ic010c_2.1956_013c020y_-2.1956sp12.wav,train-clean-100/2092/145706/2092_145706_000042_000000.wav,train-clean-100/298/126791/298_126791_000078_000001.wav,tr/20ic010c_2.1956_013c020y_-2.1956sp12.wav
1183_133255_000001_000000_8629_261139_000033_000008_40eo030u_0.76285_01ec021c_-0.76285sp12.wav,train-clean-100/1183/133255/1183_133255_000001_000000.wav,train-clean-100/8629/261139/8629_261139_000033_000008.wav,tr/40eo030u_0.76285_01ec021c_-0.76285sp12.wav
7780_274562_000008_000011_481_123720_000044_000007_01qo0319_1.312_20cc010f_-1.312sp12.wav,train-clean-100/7780/274562/7780_274562_000008_000011.wav,train-clean-100/481/123720/481_123720_000044_000007.wav,tr/01qo0319_1.312_20cc010f_-1.312sp12.wav
1841_150351_000025_000003_5463_39173_000037_000002_01yc021a_0.39089_02dc020g_-0.39089sp12.wav,train-clean-100/1841/150351/1841_150351_000025_000003.wav,train-clean-100/5463/39173/5463_39173_000037_000002.wav,tr/01yc021a_0.39089_02dc020g_-0.39089sp12.wav
4640_19187_000021_000000_4406_16883_000027_000007_408c0219_0.75342_023c0218_-0.75342sp12.wav,train-clean-100/4640/19187/4640_19187_000021_000000.wav,train-clean-100/4406/16883/4406_16883_000027_000007.wav,tr/408c0219_0.75342_023c0218_-0.75342sp12.wav
4014_186183_000022_000000_4680_16026_000008_000001_01cc020m_1.4887_01sc0219_-1.4887sp12.wav,train-clean-100/4014/186183/4014_186183_000022_000000.wav,train-clean-100/4680/16026/4680_16026_000008_000001.wav,tr/01cc020m_1.4887_01sc0219_-1.4887sp12.wav
8123_275216_000054_000003_8312_279791_000056_000000_01oc0214_0.72509_017c021c_-0.72509.wav,train-clean-100/8123/275216/8123_275216_000054_000003.wav,train-clean-100/8312/279791/8312_279791_000056_000000.wav,tr/01oc0214_0.72509_017c021c_-0.72509.wav
226_122538_000030_000004_7511_102419_000028_000006_012c0202_2.2649_01nc020z_-2.2649sp12.wav,train-clean-100/226/122538/226_122538_000030_000004.wav,train-clean-100/7511/102419/7511_102419_000028_000006.wav,tr/012c0202_2.2649_01nc020z_-2.2649sp12.wav
307_127535_000026_000000_5390_24512_000043_000000_020c0217_0.70183_40go0306_-0.70183sp12.wav,train-clean-100/307/127535/307_127535_000026_000000.wav,train-clean-100/5390/24512/5390_24512_000043_000000.wav,tr/020c0217_0.70183_40go0306_-0.70183sp12.wav
6081_41997_000027_000000_8747_293952_000098_000000_20fc010b_0.64488_407c021i_-0.64488sp12.wav,train-clean-100/6081/41997/6081_41997_000027_000000.wav,train-clean-100/8747/293952/8747_293952_000098_000000.wav,tr/20fc010b_0.64488_407c021i_-0.64488sp12.wav
163_122947_000015_000008_3168_173565_000022_000004_028c0201_2.1216_409o030y_-2.1216sp12.wav,train-clean-100/163/122947/163_122947_000015_000008.wav,train-clean-100/3168/173565/3168_173565_000022_000004.wav,tr/028c0201_2.1216_409o030y_-2.1216sp12.wav
6272_70168_000025_000000_8770_295465_000024_000001_406o031d_0.87476_023c020q_-0.87476sp12.wav,train-clean-100/6272/70168/6272_70168_000025_000000.wav,train-clean-100/8770/295465/8770_295465_000024_000001.wav,tr/406o031d_0.87476_023c020q_-0.87476sp12.wav
60_121082_000009_000000_7067_76047_000057_000004_01xo031b_0.36212_20ga010z_-0.36212sp12.wav,train-clean-100/60/121082/60_121082_000009_000000.wav,train-clean-100/7067/76047/7067_76047_000057_000004.wav,tr/01xo031b_0.36212_20ga010z_-0.36212sp12.wav
2843_152918_000011_000001_103_1241_000042_000001_404a0114_0.093104_205c010j_-0.093104sp12.wav,train-clean-100/2843/152918/2843_152918_000011_000001.wav,train-clean-100/103/1241/103_1241_000042_000001.wav,tr/404a0114_0.093104_205c010j_-0.093104sp12.wav
2007_149877_000018_000001_2989_138028_000052_000002_20cc010c_1.6296_40ec020g_-1.6296sp12.wav,train-clean-100/2007/149877/2007_149877_000018_000001.wav,train-clean-100/2989/138028/2989_138028_000052_000002.wav,tr/20cc010c_1.6296_40ec020g_-1.6296sp12.wav
