mixture_ID,source_1_path,source_2_path,noise_path
2823_160964_000003_000005_2531_156718_000022_000006_01oc0214_0.72509_017c021c_-0.72509sp12.wav,train-clean-360/2823/160964/2823_160964_000003_000005.wav,train-clean-360/2531/156718/2531_156718_000022_000006.wav,tr/01oc0214_0.72509_017c021c_-0.72509sp12.wav
6727_10344_000058_000006_3094_136458_000010_000001_209c010p_2.3645_01vc020u_-2.3645sp12.wav,train-clean-360/6727/10344/6727_10344_000058_000006.wav,train-clean-360/3094/136458/3094_136458_000010_000001.wav,tr/209c010p_2.3645_01vc020u_-2.3645sp12.wav
7558_89894_000012_000001_1961_149738_000014_000000_023c020y_1.663_40hc020s_-1.663sp12.wav,train-clean-360/7558/89894/7558_89894_000012_000001.wav,train-clean-360/1961/149738/1961_149738_000014_000000.wav,tr/023c020y_1.663_40hc020s_-1.663sp12.wav
240_144999_000008_000002_296_142727_000003_000000_40hc0201_1.3028_20pc0101_-1.3028.wav,train-clean-360/240/144999/240_144999_000008_000002.wav,train-clean-360/296/142727/296_142727_000003_000000.wav,tr/40hc0201_1.3028_20pc0101_-1.3028.wav
6696_73296_000012_000001_1851_148312_000043_000001_027o0319_0.54789_024c020l_-0.54789sp12.wav,train-clean-360/6696/73296/6696_73296_000012_000001.wav,train-clean-360/1851/148312/1851_148312_000043_000001.wav,tr/027o0319_0.54789_024c020l_-0.54789sp12.wav
7342_73961_000018_000006_2238_121413_000041_000000_20ic010c_2.1956_013c020y_-2.1956sp12.wav,train-clean-360/7342/73961/7342_73961_000018_000006.wav,train-clean-360/2238/121413/2238_121413_000041_000000.wav,tr/20ic010c_2.1956_013c020y_-2.1956sp12.wav
1641_130505_000071_000000_512_124549_000067_000000_40eo030u_0.76285_01ec021c_-0.76285sp12.wav,train-clean-360/1641/130505/1641_130505_000071_000000.wav,train-clean-360/512/124549/512_124549_000067_000000.wav,tr/40eo030u_0.76285_01ec021c_-0.76285sp12.wav
707_161166_000018_000000_2230_124587_000039_000001_01qo0319_1.312_20cc010f_-1.312sp12.wav,train-clean-360/707/161166/707_161166_000018_000000.wav,train-clean-360/2230/124587/2230_124587_000039_000001.wav,tr/01qo0319_1.312_20cc010f_-1.312sp12.wav
454_134728_000113_000000_4289_21393_000026_000000_01yc021a_0.39089_02dc020g_-0.39089sp12.wav,train-clean-360/454/134728/454_134728_000113_000000.wav,train-clean-360/4289/21393/4289_21393_000026_000000.wav,tr/01yc021a_0.39089_02dc020g_-0.39089sp12.wav
2971_4275_000060_000000_835_130876_000038_000001_408c0219_0.75342_023c0218_-0.75342sp12.wav,train-clean-360/2971/4275/2971_4275_000060_000000.wav,train-clean-360/835/130876/835_130876_000038_000001.wav,tr/408c0219_0.75342_023c0218_-0.75342sp12.wav
